Region Code: OA,,,,,,,,,
Region Name: Oceania,,,,,,,,,
Country Code: AUS,,,,,,,,,
Country Name: Australia,,,,,,,,,
Export date: 6/10/2025 7:18:47 AM,,,,,,,,,
"Source location: ""WHO Mortality Database portal""",,,,,,,,,
Metadata information: ,,,,,,,,,
,,,,,,,,,
Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age15_19,[15-19],1,0.16286645,,0.07352374
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age20_24,[20-24],2,0.25188917,,0.15046735
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age25_29,[25-29],4,0.39800995,,0.2905906
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age30_34,[30-34],5,0.41390728,,0.33315432
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age35_39,[35-39],19,1.32588974,,1.28767465
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age40_44,[40-44],64,3.18566451,,4.2330198
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age45_49,[45-49],165,5.80781415,,11.97769101
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age50_54,[50-54],331,8.40314801,,25.43983632
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age55_59,[55-59],559,10.81656347,,51.48216129
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age60_64,[60-64],742,10.98120468,,87.57125491
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age65_69,[65-69],961,10.61057745,,137.2955211
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age70_74,[70-74],1391,9.88768837,,218.2775687
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age75_79,[75-79],1455,7.37605191,,275.4278597
